"","ID","NAME","SCORE_SUM"
"29","[E1-05]","[E1-05]特殊詐欺被害に関連する地区特性の小地域空間解析
*村山 友梨1、足立 浩基1、中谷 友樹1 
(1. 東北大学大学院 環境科学研究科) [研究内容]",34
"30","[E2-01]","[E2-01]視認性の高いランドマークを活用した散策行動支援マップシステム
*葛城 太貴1、山本 佳世子1 
(1. 電気通信大学大学院) [研究内容]",31
"31","[E2-02]","[E2-02]VR空間における座席選択実験中の視線予測について
*西川 拓海1、大佛 俊泰1、岸本 まき1、金子 弘幸2、陳 紹華2、槇枝 潤一3 
(1. 東京科学大学、2. 鹿島建設　技術研究所、3. 鹿島建設　建築設計本部) [研究内容]",44
"32","[E2-03]","[E2-03]不規則三角網を用いたオープンスペースの利用ポテンシャル算出
*渡邊 立樹1、田中 一成2
 (1. 大阪工業大学大学院 工学研究科、2. 大阪工業大学　工学部)
 [研究内容]",33
"33","[E2-05]","[E2-05]東京都区部における街路整備がもたらす景観の印象変化の定量的分析
*山中 理沙1、沖 拓弥1 
(1. 東京科学大学) [研究内容]",43
"34","[E3-01]","[E3-01]詳細な断面通行量調査に基づく鉄道駅構内の旅客流動推定と改修計画の評価
*福富 洋太1、大佛 俊泰1、村木 正幸2、坂本 千洋2
 (1. 東京科学大学、2. 株式会社日建設計) [研究内容]",37
"35","[E3-02]","[E3-02]Uncovering the Relationship Between Tourist Attraction Features and Visitors Behavior Preferences: A Case Study of Deep Learning and Clustering Analysis with People Flow Data in Hakone
*Jianhao Shi1, Wanglin Yan1
 (1. Keio Univ.) [研究内容]",36
"36","[E4-03]","[E4-03]ゲーミフィケーションによる地域活性化やツーリズムの整理とナビゲーションスポーツの応用による地図表現の変化と理解
*和田 真由子1、藤田 直子1、嶋田 珠々1、ハンセン マックス1、周 楊1 
(1. 筑波大学 人間総合科学学術院人間総合科学研究群 芸術学学位プログラム) [研究内容]",35
"37","[E4-04]","[E4-04]スポーツツーリズムに特化した観光計画作成支援システム
*野邉田 龍将1、山本 佳世子1 
(1. 電気通信大学) [研究内容]",34
"38","[E4-05]","[E4-05]あいまいな条件設定に適応した巡回経路探索システムの構築
*長岡 慧1、山本 佳世子1 
(1. 電気通信大学大学院) [研究内容]",33
"39","[E5-01]","[E5-01]断面交通量調査データと携帯電話位置情報データを用いた地下街における歩行者交通量の推定
*矢田部 航成1、大佛 俊泰1、岸本 まき1 
(1. 東京科学大学) [研究内容]",45
"40","[E5-02]","[E5-02]GTFSデータを使用した到達圏を解析・表示するQGISプラグインの開発
*山本 将大1,2 
(1. 東京都立大学、2. 株式会社MIERUNE) [研究内容]",38
"41","[E5-03]","[E5-03]GPSログに基づく行動推定データを用いた人々の社会的接触可能性の時空間的把握
*米田 有希1、雨宮 護1 
(1. 筑波大学) [研究内容]",36
"42","[E5-04]","[E5-04]鉄道網による移動時間短縮を考慮した都市の人口分布の集積性の評価
*神﨑 達也1、嚴 先鏞1、鈴木 勉1 
(1. 筑波大学) [研究内容]",34
"43","[E5-05]","[E5-05]東京区部における交通量密度・移動速度に基づく交通軸と移動効率性評価
*竹内 真雄1、嚴 先鏞2、鈴木 勉2
 (1. 筑波大学大学院システム情報工学研究群、2. 筑波大学システム情報系) [研究内容]",37
"44","[E6-01]","[E6-01]人流データによる滞在者平均年齢の時空間分析 ―昼や休日に若返る自治体はどこか？―
*田村 侑介1、鈴木 勉1、大澤 義明2
 (1. 筑波大学、2. 麗澤大学) [研究内容]",42
"45","[E6-02]","[E6-02]Transformerで人流データから抽出したベクトル表現の地域分析への応用可能性
－オフィス賃料分析を通した検証－
*白勢 拓1、井上 亮1
 (1. 東北大学　大学院情報科学研究科) [研究内容]",41
"46","[E6-03]","[E6-03]実データと擬似データの比較による高精度な人流シミュレーションモデルの改善
*足立 陽紀1 
(1. 東京大学大学院) [研究内容]",29
